Product,Raw Material (kg CO2),Weaving (kg CO2),Dyeing (kWh),Finishing (Litres H2O),Energy Used (kWh),Water Used (Litres),CO2 Used (kg),Sustainability Grade
Cabin Crew Jacket,2.0,4.3,5.9,974,18.9,1050,10.0,C
Athletic Performance Tee,1.1,2.2,3.7,495,11.0,583,6.1,B
Slip-Resistant Clogs,1.4,0.8,2.7,398,13.2,331,8.7,A
Hiking Shell Jacket,3.2,5.2,7.7,1145,26.7,1333,15.2,D
Slip-Resistant Clogs,2.4,1.5,3.4,473,17.0,631,11.0,B
Running Windbreaker,1.1,2.1,2.8,438,11.7,484,6.1,A
Compression Tights,1.3,2.5,3.9,565,12.3,733,6.9,B
Security Guard Blazer,1.9,3.4,5.0,773,17.0,845,8.5,B
Welding Apron,1.9,3.0,3.4,535,13.1,668,9.6,B
Running Windbreaker,1.4,2.9,3.7,658,12.8,833,8.2,B
Factory Lab Coat,1.9,3.0,4.1,640,14.3,809,8.6,B
Lightweight Running Shoes,2.0,1.5,3.0,465,14.7,502,10.8,B
Construction Coverall,4.0,6.6,9.2,1359,26.3,1721,16.8,D
Paramedic Scrubs,1.3,2.4,3.6,557,12.6,738,7.6,B
Running Windbreaker,1.7,2.5,4.1,677,13.5,748,6.9,B
Welding Apron,2.0,3.0,3.4,574,12.4,762,9.4,B
Paramedic Scrubs,1.1,2.1,2.5,427,8.6,535,5.8,A
Waterproof Hiking Boots,3.4,2.1,5.0,700,24.4,890,13.9,C
Police Patrol Shirt,1.1,1.9,3.4,555,7.5,521,5.7,A
Paramedic Scrubs,0.8,1.4,2.9,507,8.5,566,5.8,A
Steel Toe Boots,3.8,2.3,5.4,675,28.0,832,15.8,C
Waterproof Hiking Boots,4.1,2.7,5.5,815,30.6,1040,19.7,D
Compression Tights,1.2,2.6,3.5,608,12.6,724,6.5,B
Waterproof Hiking Boots,4.0,2.7,6.1,772,32.5,1031,19.6,D
High-Top Basketball Sneakers,2.5,1.7,3.9,500,16.4,571,11.6,B
